"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"410202040002",Retribusi Pelayanan Penyediaan Tempat Kegiatan Usaha,2025,,
"410202040003",Retribusi Pelayanan Penyediaan Fasilitas Lainnya di Lingkungan Terminal,2025,,
"41020205",Retribusi Tempat Khusus Parkir,2025,,
"410202050001",Retribusi Pelayanan Tempat Khusus Parkir,2025,,
"41020206",Retribusi Tempat Penginapan/ Pesanggrahan/Vila,2025,,
"410202060001",Retribusi Pelayanan Tempat Penginapan/ Pesanggrahan/Vila,2025,,
"41020207",Retribusi Rumah Potong Hewan,2025,,
"410202070001",Retribusi Pelayanan Rumah Potong Hewan,2025,,
"41020208",Retribusi Pelayanan Kepelabuhanan,2025,,
"410202080001",Retribusi Pelayanan Kepelabuhanan,2025,,
"41020209",Retribusi Tempat Rekreasi dan Olahraga,2025,,
"410202090001",Retribusi Pelayanan Tempat Rekreasi dan Olahraga,2025,,
"41020210",Retribusi Penyeberangan di Air,2025,,
"410202100001",Retribusi Pelayanan Penyeberangan Orang,2025,,
"410202100002",Retribusi Pelayanan Penyeberangan Barang,2025,,
"41020211",Retribusi Penjualan Produksi Usaha Daerah,2025,,
"410202110001",Retribusi Penjualan Produksi Hasil Usaha Daerah berupa Bibit atau Benih Tanaman,2025,,
"410202110002",Retribusi Penjualan Produksi hasil Usaha Daerah berupa Bibit Ternak,2025,,
"410202110003",Retribusi Penjualan Produksi hasil Usaha Daerah berupa Bibit atau Benih Ikan,2025,,
"410202110004","Retribusi Penjualan Produksi hasil Usaha Daerah selain Bibit atau Benih Tanaman, Ternak, dan Ikan",2025,,
"410202140001",,2025,,
"410202160001",,2025,,
"410202170001",,2025,,
"410202180001",,2025,,
"410202190001",,2025,,
"410202200001",,2025,,
"410203",Retribusi Perizinan Tertentu,2025,RPT,"102"
"41020301",Retribusi Izin Mendirikan Bangunan,2025,,
"410203010001",Retribusi Pemberian Izin Mendirikan Bangunan,2025,,
"41020302",Retribusi Izin Tempat Penjualan Minuman Beralkohol,2025,,
"410203020001",Retribusi Pemberian Izin Tempat Penjualan Minuman Beralkohol,2025,,
"41020303",Retribusi Izin Trayek untuk Menyediakan Pelayanan Angkutan Umum,2025,,
"410203030001",Retribusi Izin Trayek untuk Menyediakan Pelayanan Angkutan Umum,2025,,
"41020304",Retribusi Izin Usaha Perikanan,2025,,
"410203040001",Retribusi Pemberian Izin Kegiatan Usaha Penangkapan Ikan,2025,,
"410203040002",Retribusi Pemberian Izin Kegiatan Usaha Pembudidayaan Ikan,2025,,
"41020305",Retribusi Pengendalian Lalu Lintas,2025,,
"410203050001",Retribusi Pengendalian Lalu Lintas Penggunaan Ruas Jalan Tertentu,2025,,
"410203050002",Retribusi Pengendalian Lalu Lintas Penggunaan Koridor Tertentu,2025,,
"410203050003",Retribusi Pengendalian Lalu Lintas Penggunaan Kawasan Tertentu,2025,,
"41020306",Retribusi Perpanjangan Izin Mempekerjakan Tenaga Kerja Asing (IMTA),2025,,
"410203060001",Retribusi Pemberian Perpanjangan IMTA kepada Pemberi Kerja Tenaga Kerja Asing,2025,,
"410203080001",,2025,,
"4103",Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,2025,,
"410301",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMN,2025,LPMP,"501"
"41030101",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMN,2025,,
"410301010001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMN,2025,,
"410302",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD,2025,LPMD,"500"
"41030201",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Lembaga Keuangan),2025,,
"410302010001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Lembaga Keuangan),2025,,
"41030202",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Aneka Usaha),2025,,
"410302020001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Aneka Usaha),2025,,
"41030203",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Bidang Air Minum),2025,,
"410302030001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada Perusahaan Milik Daerah/BUMD (Bidang Air Minum),2025,,
"41030204",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Bidang Limbah),2025,,
"410302040001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Bidang Limbah),2025,,
"41030205",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Bidang Sanitasi),2025,,
"410302050001",Bagian Laba yang Dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada BUMD (Bidang Sanitasi),2025,,
"410303",Bagian Laba yang dibagikan kepada Pemerintah Daerah (Dividen) atas Penyertaan Modal pada Perusahaan Milik Swasta,2025,LPMS,"502"
